nation,adj_medals,geog_area,gdp_per_cap,exports,lat_of_capital,nonadj_medals
United States,29,9826675,48100,1511000000000,39,40
Germany,23,357022,37900,1543000000000,53,32
China,22,9596961,8400,1897000000000,40,31
Russia,20,17098242,16700,498600000000,56,27
Canada,18,9984670,40300,450600000000,45,25
Norway,16,323802,53300,159800000000,60,22
Netherlands,15,41543,42300,576900000000,52,21
United Kingdom,13,243610,35900,495400000000,54,18
France,13,643801,35000,578400000000,49,18
Sweden,13,450295,40600,204200000000,59,17
Australia,12,7741220,40800,266000000000,33,17
Japan,12,377915,34300,800800000000,36,16
Switzerland,11,41277,43400,308300000000,47,16
Finland,11,338145,38300,85400000000,60,15
Austria,10,83871,41700,180700000000,48,14
Italy,9,301340,30100,508900000000,42,12
South Korea,9,99720,31700,558800000000,38,12
Czech Republic,6,78867,25900,146700000000,50,8
Poland,6,312685,20100,197100000000,52,8
Estonia,5,45228,20200,15640000000,59,7
Slovenia,5,20273,29100,28960000000,46,7
Slovakia,4,49035,23400,86620000000,48,6
Kazakhstan,4,2724900,13000,65910000000,51,5
Latvia,4,64589,15400,10300000000,57,5
Belarus,3,207600,14900,26290000000,54,4
Croatia,2,56594,18300,13300000000,46,3
Ukraine,1,603550,7200,60670000000,50,1
