State	Literacy & Language	Math & Science	Music & the Arts	Applied Learning	Special Needs	History & Civics	Health & Sports	FILLED Literacy & Language	FILLED Math & Science	FILLED Music & the Arts	FILLED Applied Learning	FILLED Special Needs	FILLED History & Civics	FILLED Health & Sports
AK	525	316	89	115	70	50	55	395	250	74	89	47	44	41
AL	2125	1167	292	346	305	216	90	1183	707	199	176	201	134	62
AR	1452	2123	486	310	98	673	70	877	1764	359	169	47	536	36
AZ	4265	2117	776	512	564	385	183	3013	1530	584	336	417	265	134
CA	45307	30499	10588	7069	6367	5173	3260	31803	22767	8154	4912	4396	3592	2259
CO	3335	1376	502	420	273	282	169	2354	1032	366	265	207	204	121
CT	3184	1168	710	433	626	312	160	2329	921	544	295	501	226	111
DE	696	278	123	126	93	52	89	504	207	104	95	70	43	76
FL	14513	6875	1886	1505	1273	950	650	8964	4664	1266	902	796	586	484
GA	5394	4000	1277	864	830	633	337	3213	2555	865	483	502	403	250
HI	835	660	203	189	152	147	70	650	511	175	146	118	106	57
IA	1530	579	227	271	201	93	57	918	367	145	136	121	60	34
ID	751	531	145	84	63	74	39	528	413	100	49	45	56	21
IL	14479	6186	2733	1851	2489	1287	861	10185	4629	2035	1225	1745	903	595
IN	6611	3073	1358	859	866	493	369	4370	2223	1041	504	524	335	210
KS	1173	601	344	230	109	109	73	731	405	247	126	58	66	43
KY	1855	953	363	298	247	175	116	1186	621	262	185	152	127	75
LA	4446	2334	763	755	513	345	181	2707	1489	530	438	336	214	115
MA	3760	2144	558	452	739	462	207	2802	1649	426	295	523	347	144
MD	4174	1924	573	753	426	423	192	3172	1447	419	519	301	342	150
ME	1489	683	230	183	139	126	110	988	469	167	116	97	88	63
MI	4973	2637	834	826	765	477	279	3366	1879	583	513	497	325	193
MN	2071	820	273	285	302	141	146	1390	569	186	186	202	96	90
MO	5392	2425	925	916	752	479	245	3571	1681	643	586	512	317	149
MS	2380	1693	485	452	338	318	93	1469	1105	321	256	194	200	52
MT	240	169	85	59	25	37	23	172	129	72	45	17	25	15
NC	14129	8656	2470	2064	1731	1390	817	8382	5671	1668	1110	1017	899	495
ND	172	98	30	60	59	4	7	117	74	24	42	35	2	7
NE	724	288	141	112	58	48	61	474	209	102	53	33	29	38
NH	593	385	85	68	70	53	28	478	311	64	48	52	32	15
NJ	3855	1753	1018	735	620	328	162	2823	1350	795	519	447	232	120
NM	1081	608	142	169	211	115	42	796	471	113	115	152	88	33
NV	4548	1611	825	470	363	302	116	2976	1101	617	301	259	205	82
NY	23084	9996	5617	3726	5102	2812	1580	17264	7805	4459	2754	3616	2163	1260
OH	3041	1583	707	490	741	209	143	1896	1069	508	317	465	132	90
OK	6191	3228	1146	1467	677	464	290	3999	2182	789	887	441	299	181
OR	2881	1636	418	289	450	265	168	1983	1214	292	190	312	190	117
PA	6308	2725	1355	914	784	642	403	4216	1901	955	573	493	447	254
RI	908	381	158	124	145	77	46	667	275	116	86	84	55	31
SC	5965	3106	1287	1068	881	680	298	3205	1928	743	547	487	407	177
SD	441	225	81	58	31	22	16	320	156	56	35	16	18	12
TN	6353	3379	928	1064	574	561	258	3999	2226	619	655	339	399	181
TX	15261	10118	2870	2323	1416	1138	737	9520	6742	1952	1358	939	740	470
UT	3583	2880	540	443	311	300	192	2335	2064	386	289	199	195	130
VA	4475	2092	621	604	725	495	246	2905	1414	426	369	465	310	152
VT	172	160	63	32	17	30	9	127	116	48	20	6	20	6
WA	4454	2253	882	537	677	336	407	3395	1746	707	381	512	257	297
WI	3201	1233	419	541	630	218	135	2051	825	291	326	440	140	86
WV	828	568	190	192	206	94	44	518	382	133	116	128	61	24
WY	177	107	26	20	18	29	6	106	87	17	13	11	23	4
